,ID,Element,State,Value,Latitude,Longitude,Elevation,City
0,USC00050109,AWND,CO,47.20053415832407,40.15499999999999,-103.14169999999996,1384.4000000000005,Akron
1,USC00052947,AWND,CO,40.14141621776301,40.6483,-102.85940000000004,1297.2000000000005,Fleming
2,USC00053261,AWND,CO,44.030606496110174,39.7053,-105.69970000000004,2596.9000000000005,Georgetown
3,USC00116344,AWND,IL,36.97853633667039,40.11000000000001,-87.95669999999996,205.69999999999996,Ogden
4,USC00185934,AWND,MD,42.6541617008316,39.71939999999999,-76.8028,262.1,Millers
5,USC00218947,AWND,MN,36.56170811483659,45.8619,-96.56500000000004,312.1,Wheaton
6,USC00252037,AWND,NE,76.42590609753047,42.7364,-97.49690000000002,426.6999999999999,Crofton
7,USC00413340,AWND,TX,35.39097790534456,28.9844,-95.38079999999998,2.3999999999999995,Freeport
8,USC00418040,AWND,TX,41.394835001853906,35.7047,-101.54919999999998,894.8999999999997,Sanford
9,USW00003013,AWND,CO,42.205881506684,38.069999999999965,-102.68809999999976,1129.0,Lamar
10,USW00003017,AWND,CO,44.495519186909654,39.83280000000008,-104.6575,1650.2000000000062,Denver
11,USW00003024,AWND,TX,46.560120354800006,35.69499999999998,-101.39500000000031,930.8999999999974,Borger
12,USW00003026,AWND,CO,53.51266779976366,39.24470000000012,-102.28420000000004,1277.7000000000028,Burlington
13,USW00003027,AWND,NM,62.465892191513106,35.00280000000012,-105.66280000000003,2159.7999999999934,Clines Corners
14,USW00003028,AWND,CO,52.13980356552719,37.28330000000005,-102.61390000000021,1335.8999999999965,Springfield
15,USW00003030,AWND,OK,48.53334126510535,36.68170000000007,-101.50530000000023,951.8999999999974,Guymon
16,USW00003031,AWND,TX,46.546280332056206,31.9206,-102.38669999999959,914.6999999999983,Odessa
17,USW00003032,AWND,TX,40.748062710236276,30.048099999999987,-102.21310000000034,707.6999999999983,Sanderson
18,USW00003068,AWND,CO,42.507943341145456,38.766699999999965,-104.30000000000008,1837.9000000000005,Calhan
19,USW00003124,AWND,AZ,35.662297902441715,31.588299999999954,-110.34419999999987,1438.3999999999994,Sierra Vista
20,USW00003159,AWND,CA,48.38576581985754,34.74110000000009,-118.21169999999987,712.6000000000008,Lancaster
21,USW00003160,AWND,NV,40.589016625075786,36.620600000000145,-116.02780000000004,984.5,Mercury
22,USW00003164,AWND,CA,36.312908582868594,32.62610000000005,-116.46809999999985,805.0,Campo
23,USW00003749,AWND,MD,36.042919293540415,39.64499999999999,-77.46810000000005,563.0,Sabillasville
24,USW00003855,AWND,FL,35.76813149115918,30.350000000000108,-87.3166999999997,8.5,Pensacola
25,USW00003887,AWND,IL,43.47681069953928,39.834400000000024,-88.86559999999983,205.70000000000041,Decatur
26,USW00003902,AWND,TX,47.350601869590676,31.066700000000033,-97.8333,309.39999999999986,Killeen
27,USW00003919,AWND,KS,47.34531032881539,38.8000000000001,-97.64999999999976,386.8000000000009,Salina
28,USW00003927,AWND,TX,46.99141251720127,32.897800000000075,-97.01889999999935,170.69999999999908,Irving
29,USW00003928,AWND,KS,52.1546749654189,37.6543999999999,-97.44250000000031,406.8999999999975,Wichita
30,USW00003929,AWND,MO,43.12164499154905,38.84389999999999,-94.56030000000004,321.8999999999998,Kansas City
31,USW00003932,AWND,OK,57.6363092330084,35.210000000000036,-99.12000000000008,585.8000000000011,Sentinel
32,USW00003933,AWND,TX,38.091340393606615,31.133299999999966,-97.71669999999996,281.60000000000025,Killeen
33,USW00003945,AWND,MO,42.936635078516005,38.81689999999984,-92.21830000000038,272.1999999999984,Columbia
34,USW00003947,AWND,MO,46.75221193762437,39.297200000000316,-94.7305999999997,306.30000000000183,Kansas City
35,USW00003950,AWND,OK,41.322482266173786,34.55829999999997,-98.41719999999991,325.80000000000075,Lawton
36,USW00003954,AWND,OK,52.64108757767453,35.53420000000005,-97.64689999999985,395.30000000000115,Bethany
