ID,Element,State,Value,Latitude,Longitude,Elevation
USC00052947,AWND,CO,40.14141621776301,40.6483,-102.85940000000004,1297.2000000000003
USW00003031,AWND,TX,46.5462803320562,31.9206,-102.3866999999996,914.6999999999985
USW00003032,AWND,TX,40.74806271023627,30.048099999999984,-102.21310000000034,707.6999999999982
USW00003932,AWND,OK,57.636309233008404,35.21000000000003,-99.12000000000008,585.8000000000011
USW00003954,AWND,OK,52.64108757767453,35.53420000000005,-97.64689999999983,395.3000000000011
USW00004846,AWND,IN,37.073242493603324,41.45250000000009,-87.00580000000028,234.70000000000016
USW00012849,AWND,FL,41.05957727641366,26.071899999999943,-80.15359999999978,3.3999999999999906
USW00012850,AWND,FL,41.14672132594999,24.583299999999987,-81.68330000000029,1.8000000000000071
USW00012873,AWND,FL,36.34899935088737,27.91060000000007,-82.6875,3.399999999999991
USW00012885,AWND,FL,36.30068547441222,26.19689999999994,-80.1707999999999,4.299999999999996
USW00012912,AWND,TX,42.36036066702527,28.861399999999826,-96.9303,35.10000000000021
USW00013904,AWND,TX,35.568548248148836,30.183100000000103,-97.68000000000019,146.29999999999959
USW00013959,AWND,TX,45.043492652320225,31.618900000000036,-97.22829999999959,152.4000000000009
USW00013960,AWND,TX,42.65697902376226,32.85189999999999,-96.85560000000031,134.09999999999988
USW00013961,AWND,TX,41.89210084839174,32.81919999999993,-97.3613999999998,209.40000000000057
USW00013972,AWND,TX,35.98296946481891,32.35420000000005,-95.40250000000012,165.79999999999956
USW00013997,AWND,MO,40.58023764947175,38.13109999999991,-91.76829999999983,343.5
USW00014719,AWND,NY,38.71258279721999,40.843600000000094,-72.6322,20.400000000000055
USW00014753,AWND,MA,55.787048621195,42.21219999999996,-71.1136,190.5
USW00014764,AWND,ME,36.23648940210275,43.64969999999995,-70.30029999999995,13.699999999999916
USW00014815,AWND,MI,38.9053536183788,42.307499999999905,-85.25109999999991,282.90000000000083
USW00014820,AWND,OH,42.91510614979212,41.413099999999865,-81.86000000000035,232.59999999999997
USW00014839,AWND,WI,46.1436203982922,42.95499999999994,-87.90439999999964,204.19999999999877
USW00014913,AWND,MN,45.29960430952305,46.83690000000015,-92.20969999999961,435.300000000001
USW00014935,AWND,NE,49.99945969929709,40.9611000000003,-98.31360000000058,560.7999999999981
USW00014938,AWND,MO,38.38040641345108,40.09720000000009,-92.54329999999979,294.40000000000083
USW00014943,AWND,IA,47.038664141408105,42.391400000000296,-96.37919999999959,333.8000000000019
USW00014992,AWND,MN,43.39500766980603,44.548300000000076,-95.08029999999977,311.19999999999993
USW00023023,AWND,TX,48.682899908365144,31.943300000000118,-102.18890000000033,874.2000000000054
USW00023062,AWND,CO,35.55986281053022,39.76329999999995,-104.86939999999973,1611.2000000000035
USW00023078,AWND,NM,38.16161332053695,32.262200000000036,-107.72060000000015,1310.899999999997
USW00024127,AWND,UT,38.197395152368216,40.77809999999996,-111.96940000000095,1287.7999999999927
USW00024133,AWND,ID,35.94858681723931,42.54170000000002,-113.76610000000025,1262.5
USW00024155,AWND,OR,35.18421005711777,45.69059999999992,-118.85280000000041,461.8000000000002
USW00025323,AWND,AK,41.95585148022015,59.243300000000076,-135.50940000000006,4.600000000000013
USW00025704,AWND,AK,56.24455887922202,51.883300000000105,-176.6500000000001,5.199999999999999
USW00025713,AWND,AK,69.84648214674013,57.15530000000003,-170.22219999999865,10.699999999999942
USW00027515,AWND,AK,44.77432004036627,70.21169999999987,-151.0017000000004,17.40000000000005
USW00093045,AWND,NM,36.80426845365547,33.23670000000004,-107.26809999999979,1478.299999999996
USW00093729,AWND,NC,44.32173829063124,35.23250000000006,-75.62189999999947,3.3999999999999924
USW00093819,AWND,IN,42.679800646349854,39.707500000000294,-86.28029999999951,240.8000000000015
USW00093953,AWND,OK,39.676698172866416,35.65669999999989,-95.3613999999998,185.9000000000005
USW00093989,AWND,IL,41.172191907396396,39.93689999999999,-91.19189999999985,234.40000000000052
USW00093997,AWND,KS,55.9501993578271,38.87609999999998,-98.80919999999975,568.1000000000032
USW00094039,AWND,SD,37.95365123672627,43.020599999999895,-102.51829999999983,999.1000000000029
USW00094040,AWND,NE,44.859924725031604,40.20640000000002,-100.59139999999972,771.1000000000021
USW00094818,AWND,WI,40.88862421064992,42.76109999999993,-87.81359999999991,205.4000000000006
USW00094895,AWND,IN,38.209520253154,40.23419999999994,-85.3935999999999,285.5999999999992
USW00094982,AWND,IA,44.56567030311326,41.61170000000011,-90.58079999999983,229.7999999999998
